id,prediction,loss
560,3435,8123
561,1760,1257
562,3760,1715
563,1559,825
567,3011,3849
568,2762,1733
572,1682,3016
576,1236,2152
577,4443,3861
578,1344,1748
584,1523,966
586,1725,3158
590,2762,3228
592,1557,892.4
596,1321,1578
598,1135,1375
599,1249,939.4
603,2349,697
605,3613,4805
606,1249,871.8
607,876,865.9
608,4470,4884
610,3435,3835
611,2169,2247
612,4011,4411
614,7276,8533
617,1853,3577
621,3760,6041
625,706.8,651.6
626,2462,3565
627,1906,2154
630,3011,2709
632,1514,1498
640,2748,749.3
644,1455,1221
650,5589,4773
653,1321,2580
657,2011,1738
658,3613,3603
663,1238,581.9
667,1603,914.6
670,2246,1028
674,2011,1096
677,4203,4391
679,2318,3016
681,1411,1587
685,2224,1579
687,1321,886
691,8080,6055
693,1784,1092
699,3613,5145
700,3308,5646
702,2556,3688
711,2740,1843
714,2317,4363
716,1411,3008
720,7350,5403
724,1557,1241
727,1321,1117
732,5589,6380
738,1853,4398
740,2701,3332
743,2246,1.252e+04
752,829.1,804.3
754,2099,1538
756,961.4,1060
762,716.2,1724
764,2884,3269
766,1784,2174
772,2372,1808
780,841.5,1990
781,1682,3304
784,1514,3766
786,1262,678.7
787,2643,3095
789,3011,3458
793,1.097e+04,1.104e+04
797,5319,9133
803,2556,1719
804,1797,633
806,1943,7195
810,1321,980.8
811,1853,1168
813,2606,2212
814,683.4,995.3
819,1603,959
821,2372,2196
824,899.6,819.2
827,1201,1356
829,5319,5572
835,1179,670.5
836,1591,1523
837,1411,1067
843,2606,2073
848,3011,1535
854,1404,1639
855,1505,1303
856,3011,8039
857,3275,5044
860,1670,918.5
867,5319,6348
870,3255,3103
871,1514,1038
878,9333,5715
881,3011,4540
882,4134,6113
887,1288,1496
890,3275,2787
892,1291,1593
893,1557,2130
894,1514,1023
895,1891,1625
898,3255,4576
900,4004,5177
902,1906,2930
903,1725,1529
905,1863,1484
906,1670,828.6
907,2606,1929
908,1342,641
909,2318,4083
912,3435,1488
914,2251,1803
915,1249,686
917,3106,1488
919,2224,1487
920,1411,1576
921,2246,2298
926,9517,1.841e+04
930,2099,2763
936,1725,3701
937,6866,4630
938,3555,2076
939,4443,3597
946,4777,6679
951,1906,1254
953,3011,3033
958,2556,3288
961,1947,1321
968,2317,3295
969,1318,1127
970,2130,5476
971,6284,4708
972,1179,2228
973,1249,1754
974,2372,1115
980,770.4,513
982,1201,1177
985,1404,1832
987,8446,835.9
988,1342,1170
991,5319,4907
992,2011,1785
993,1682,1857
996,1725,1934
997,4937,3943
1001,2011,2323
1009,1121,1178
1013,1853,1465
1014,3255,4469
1015,874.1,786.8
1017,2740,753.9
1020,3760,2920
1026,3435,4110
1027,1411,1873
1030,5199,1.262e+04
1032,2011,817.2
1037,7101,7593
1039,9517,9877
1041,2556,1912
1043,3909,4618
1046,1404,1260
1049,4937,4991
1050,1.097e+04,1.287e+04
1052,1797,3816
1053,4937,3769
1062,1760,1445
1065,2099,850.9
1068,1419,612.7
1070,957.5,822.4
1075,874.1,2174
1079,6284,3633
1081,3757,4136
1082,1179,606.7
1086,957.5,1093
1087,2246,2173
1090,2896,3272
1092,961.4,1296
1094,1514,798.8
1095,2372,908.5
1099,2011,2370
1104,3308,2208
1107,2372,1301
1110,2815,2506
1112,2011,1356
1117,2224,3189
1119,1784,1006
1125,3757,3401
1128,2349,6865
1129,4115,1.023e+04
1131,2643,594.8
1134,2200,1231
1139,1288,1025
1141,1411,1234
1148,4115,3400
1151,2748,2538
1155,4011,3806
1156,1682,2273
1158,2011,1487
1159,1318,1663
1160,1249,1070
1161,1797,1264
1162,2896,7496
1166,3106,2127
1167,1943,1113
1168,829.1,559
1169,706.8,816.9
1173,1505,4180
1174,4234,4809
1175,1947,688.9
1176,1084,994.4
1177,3435,4089
1178,4777,7349
1181,1568,404.1
1186,829.1,518.9
1187,1947,1284
1189,6284,3502
1194,2318,1587
1195,4804,3940
1198,4822,3599
1203,3613,2992
1205,4777,8588
1206,1135,1221
1210,4937,5538
1211,1682,3424
1213,2815,1721
1215,5319,6787
1224,4011,3961
1226,1523,1721
1230,1093,752.2
1236,1505,2677
1237,7276,5873
1240,941.8,1999
1246,1084,815.8
1256,1655,2241
1257,1321,441.5
1261,1288,1822
1266,876,1148
1270,2200,2305
1272,4937,9697
1273,4263,3146
1274,1455,818.2
1276,3011,3904
1278,961.4,1622
1282,2556,4904
1283,2246,1953
1284,1236,1213
1285,2011,406.5
1288,3275,5889
1291,1943,2298
1296,1249,757.8
1297,4203,7075
1298,3760,1629
1302,1002,2826
1309,1262,1860
1311,1682,1842
1317,1670,3664
1319,2318,1160
1322,1682,4061
1329,5483,4508
1333,3011,5526
1337,1514,5297
1338,1725,3388
1339,4011,1520
1343,2643,2433
1345,3555,6062
1349,5483,4192
1350,1404,1223
1364,1670,1409
1366,2606,1369
1367,1419,4569
1369,829.1,960.1
1370,3760,4791
1372,1002,1492
1379,1725,1471
1386,1784,3334
1389,795.9,1084
1391,2748,3508
1392,4777,5866
1396,2246,5012
1399,800.9,2494
1400,2224,1482
1407,4443,6613
1412,3011,2347
1413,2099,1938
1414,1853,5089
1416,7101,7627
1417,961.4,1014
1420,1411,2514
1423,1514,1160
1428,1514,1602
1430,3129,1576
1432,1801,2134
1434,1853,1155
1435,7680,2102
1439,1078,571.2
1440,5319,4727
1442,3106,4722
1447,1523,1035
1456,3308,3426
1460,1238,224.9
1466,1947,1064
1467,961.4,1607
1470,3507,2560
1472,1404,3545
1476,1557,891.3
1477,2296,1.643e+04
1487,1591,513.2
1495,1093,192.6
1496,2887,4385
1497,800.9,2337
1498,6284,5913
1503,961.4,345.6
1505,4203,2424
1511,3555,1529
1522,4263,2303
1524,2251,3410
1526,2815,5321
1531,2011,4051
1533,5589,3130
1535,2224,2960
1537,683.4,819.8
1538,1682,968.1
1540,3613,6227
1543,1523,785.7
1544,1853,2434
1548,2011,3642
1566,1670,1224
1571,1.144e+04,9096
1572,1603,1454
1574,1419,2990
1577,957.5,517.2
1578,1853,1039
1580,1906,934.9
1582,4263,1606
1584,1591,4657
1586,1297,1723
1589,6759,7203
1601,1342,2910
1606,7276,1.069e+04
1611,1863,1867
1613,1943,2308
1614,2126,882.8
1615,1591,1397
1621,761.3,860
1622,2701,2937
1623,1288,1255
1630,1947,2300
1637,800.9,814.4
1642,1318,1220
1648,1695,529.2
1652,1411,1654
1657,1344,1836
1658,3308,3441
1659,8446,5108
1661,1093,1662
1662,1591,2378
1663,2126,3318
1666,2901,2914
1668,3435,9773
1671,8788,8177
1674,2762,1769
1680,2200,3636
1681,531.8,907.2
1688,3308,5335
1700,2372,1789
1702,1238,1439
1703,2349,1721
1704,2011,5118
1707,2556,1254
1709,1455,1482
1714,1411,2618
1717,1943,2916
1718,1.02e+04,1.503e+04
1721,3255,5600
1723,800.9,574.6
1725,6002,5994
1726,3435,6780
1732,1947,4765
1733,1947,7285
1735,1191,727.9
1738,3106,1.168e+04
1740,1725,2028
1741,1523,1933
1742,2200,3115
1748,2372,2154
1754,4777,4520
1755,2606,1858
1757,4804,1912
1761,3757,1510
1765,929.9,1705
1767,1002,1263
1768,1.495e+04,2.202e+04
1774,626.8,395.6
1776,1321,594.3
1778,2556,6620
1779,8446,6392
1781,1906,708.4
1795,961.4,766.3
1797,2388,1841
1802,1318,1864
1804,1523,1211
1806,706.5,695.5
1809,4004,7851
1814,1096,1421
1815,876,888.5
1823,8446,9239
1824,1249,489
1826,2317,4004
1829,1054,1336
1845,3757,5445
1847,2556,1384
1849,4263,4015
1850,1249,1100
1859,3757,9593
1860,3757,2470
1861,1179,1211
1864,1682,1295
1866,1002,725.9
1875,2388,1796
1877,3106,796.1
1879,2317,2062
1887,2200,1151
1891,1321,728.7
1893,1682,2871
1896,1121,2483
1897,1760,2789
1904,2606,2712
1907,9337,8143
1909,1445,1450
1920,4203,4939
1921,2246,1757
1922,2556,1571
1923,3435,7469
1924,2556,2776
1925,1455,1887
1926,2556,2802
1931,1906,1890
1934,1603,1623
1936,1191,1140
1939,1179,346.9
1946,6089,4434
1949,1947,2438
1951,6089,8928
1954,1249,784.4
1956,1906,1799
1957,6284,6376
1961,3275,963.5
1963,1002,456.8
1964,3011,4921
1965,3909,4413
1970,929.9,2198
1971,4937,7817
1972,2874,2497
1977,1321,3684
1978,3760,4307
1982,3909,1733
1983,3255,4724
1988,4440,3685
1993,4470,4697
1996,761.3,641.5
1997,1853,1715
2002,1947,1555
2003,2011,3112
2005,1853,1302
2010,1557,1410
2013,758.4,966.7
2018,2099,1091
2023,1819,3703
2043,5483,4768
2044,961.4,1047
2046,1557,652
2058,1445,1975
2060,4470,3538
2061,2317,1975
2063,4966,5045
2067,1557,1163
2072,1655,1233
2075,1121,808.7
2076,2011,1377
2083,5813,5271
2084,1002,795.6
2086,1760,1069
2087,3255,5202
2091,2556,1643
2092,2372,3108
2098,5943,3367
2099,1.097e+04,1.92e+04
2103,3106,976.7
2104,1.02e+04,5905
2107,706.8,917
2109,1002,1475
2110,1455,1276
2111,1121,3058
2112,4234,6879
2121,3757,5213
2123,2896,1194
2130,2606,1178
2134,2372,3895
2138,1557,858.9
2141,1784,1606
2146,1784,1201
2148,7276,8423
2149,929.9,1216
2154,1084,967.2
2157,2317,3601
2158,1682,1315
2159,2372,3898
2162,1002,2754
2167,6284,7386
2171,1514,1973
2175,3760,4090
2178,6284,9006
2180,637.9,675.9
2186,1906,1176
2192,819,934.3
2193,7821,8920
2197,2011,1001
2198,1.527e+04,1.458e+04
2203,1342,390.3
2205,2887,5067
2207,2556,2166
2213,2318,1365
2215,5813,6781
2216,1249,2829
2218,899.6,725.2
2220,3435,1844
2229,2099,1688
2232,3909,3004
2233,1557,3656
2234,2372,1940
2237,1906,1782
2240,1906,1656
2241,1404,2248
2246,1853,1636
2249,1121,1541
2251,3555,8415
2255,1249,1056
2257,1321,1656
2261,1249,1575
2264,1801,2288
2269,8446,9132
2271,1603,2120
2272,2815,1784
2278,5813,4421
2286,1784,3420
2287,9337,7974
2293,4828,1.079e+04
2294,1002,1007
2298,1514,1615
2303,957.5,654.1
2305,8446,2.597e+04
2308,8446,5008
2310,2701,3308
2311,2099,4712
2320,1505,1479
2322,6089,7977
2323,4011,5170
2324,957.5,4093
2325,4115,4366
2327,3435,1627
2328,1288,2853
2331,3275,5439
2332,3435,3599
2335,961.4,857.6
2339,4011,2452
2343,1046,1871
2345,3011,2739
2352,1695,1251
2356,2234,4138
2357,2296,2606
2365,1682,2195
2373,1853,2579
2375,1318,1702
2379,2556,3339
2380,3106,3604
2385,1603,1091
2390,1784,2290
2393,1121,1985
2398,1002,699.3
2399,1344,736.9
2402,5179,5643
2405,6089,7385
2406,1682,1727
2408,5813,5154
2410,6284,6876
2412,5057,5225
2419,4777,6952
2423,2740,4693
2431,3757,2421
2437,2740,2586
2441,1262,1096
2443,1682,1523
2453,1342,1252
2454,1002,461.6
2455,3308,4021
2459,3255,2157
2464,1455,1519
2465,2296,1576
2466,8080,6368
2473,2317,776.6
2474,4011,5180
2476,4937,6141
2477,1523,1183
2486,6759,1.252e+04
2490,1853,2185
2491,1321,873
2493,1411,377.6
2495,5319,5962
2500,1853,5270
2506,2462,1637
2508,6089,5143
2517,2200,1472
2518,1906,1662
2520,4011,7758
2525,1131,1088
2527,1784,750
2531,706.8,448.8
2533,1262,630.2
2541,1682,1026
2547,6284,6699
2550,7821,1.157e+04
2554,2099,3110
2559,1288,1016
2560,876,973.2
2561,2200,1260
2565,4011,4500
2568,2224,2176
2569,2887,4683
2570,2011,827.1
2576,3129,4122
2578,2762,4092
2579,4828,7769
2580,2099,4221
2585,3909,3588
2590,2556,4179
2591,2887,2618
2594,4011,3535
2600,1947,5571
2605,1084,1163
2606,4937,6709
2608,2011,1693
2616,2200,4281
2617,800.9,765.9
2619,1514,912.1
2622,1288,1742
2623,2317,5688
2625,2296,1178
2632,3760,4308
2634,957.5,613.4
2639,1523,1556
2645,957.5,420.1
2652,4804,6185
2655,1760,1467
2656,829.1,981.2
2658,3011,1964
2660,3129,5357
2661,2748,1830
2669,7276,4141
2672,876,598.3
2675,1682,4070
2681,1404,1547
2685,5319,5781
2686,974.7,1034
2687,1121,1565
2688,1093,967
2697,1262,729.9
2698,1591,3038
2709,2643,2278
2712,3613,6685
2718,1947,1948
2719,1603,1819
2722,1591,686.1
2724,2372,2780
2728,957.5,626.5
2729,5319,2298
2734,3555,2053
2735,1.319e+04,1.458e+04
2737,961.4,644.8
2741,1557,1193
2742,1725,3231
2747,4470,3862
2748,1249,2495
2749,3463,5103
2756,2011,3598
2758,2011,954.6
2763,6284,9920
2770,1760,1824
2771,2372,2959
2779,1002,1010
2780,1002,742.7
2792,1.097e+04,1.174e+04
2793,1670,1697
2794,1411,1779
2795,8446,7190
2797,1557,955.2
2798,1514,2405
2799,1853,4135
2802,4134,3772
2806,5589,3794
2810,1288,836.3
2812,3011,3921
2824,4470,4404
2831,1084,2279
2832,706.5,676.1
2838,1.31e+04,2.96e+04
2840,1.31e+04,1.533e+04
2841,4115,6921
2842,1249,1457
2848,3011,9846
2850,1557,1937
2852,1480,4544
2855,1179,2513
2857,3255,1063
2858,2099,2189
2859,3106,4667
2860,3129,3184
2861,3255,4636
2865,2606,2480
2871,5813,7608
2872,1249,906.8
2874,1603,3159
2880,3435,2946
2882,1165,911.4
2883,3129,4425
2885,2643,3329
2891,7276,9950
2898,2556,3033
2902,4828,2963
2904,1947,2451
2922,2224,1618
2925,1288,2159
2928,1853,2146
2935,2748,3285
2938,1191,3868
2940,3613,3011
2950,1801,1247
2951,3308,2723
2953,2643,2364
2955,5483,6686
2959,1030,1278
2967,2556,6083
2968,6089,5457
2969,1179,916.8
2976,4115,9494
2978,2317,4721
2981,1411,808.4
2988,1.144e+04,1.061e+04
2989,7276,5884
2994,1891,2663
2999,1523,1439
3000,1943,995.1
3010,1947,1326
3011,1797,1608
3015,1943,7599
3016,1249,1220
3018,3308,3976
3019,2126,1964
3022,2011,4596
3024,1288,1915
3031,4011,6779
3032,1342,1133
3033,1.077e+04,8091
3039,1.077e+04,8559
3041,1725,2923
3042,957.5,768.5
3051,1318,1089
3058,1557,1705
3061,1943,2708
3062,1695,2635
3066,2748,2306
3068,1906,622.1
3072,5483,3845
3073,1797,1310
3074,2318,2961
3080,2349,3437
3083,4011,4329
3089,1523,1007
3093,2701,2214
3095,3308,1772
3098,3011,4119
3101,5179,6757
3104,706.8,681
3106,3909,5107
3109,1179,663
3111,6284,5664
3113,1523,1649
3114,1249,2103
3116,706.5,845.5
3117,2556,793.4
3119,3760,4398
3125,1121,709.6
3126,2372,2350
3127,1591,3149
3129,874.1,342.5
3130,7350,7677
3131,2011,2886
3135,3129,1258
3137,3011,4851
3139,1084,1149
3142,2372,2347
3148,1505,1572
3150,3435,7176
3156,1249,1518
3162,1054,1122
3164,1179,1524
3166,1947,3455
3167,1342,1504
3168,1906,1321
3174,4011,9448
3179,2462,3057
3185,1603,1670
3187,2246,2157
3188,1165,1673
3193,1.02e+04,8221
3195,1682,793
3198,1725,1668
3206,5943,6635
3211,2224,3427
3213,1238,1164
3215,1784,1955
3218,1411,1036
3223,1342,676.3
3224,1480,872.4
3227,1201,2087
3231,1121,819.2
3233,1455,2518
3238,5943,3082
3242,2011,2368
3244,2556,1478
3246,5564,3710
3247,2372,7968
3248,1514,2660
3252,1249,1161
3253,4011,1350
3255,2606,1760
3256,3129,3143
3257,800.9,726.2
3268,2317,3263
3272,2372,9958
3274,2011,800.4
3276,1568,2738
3277,1404,1421
3280,4804,2794
3283,1955,1712
3290,2556,2622
3292,1404,6026
3294,1321,531.9
3298,2011,1048
3301,2099,4169
3304,1523,2502
3310,800.9,668.6
3316,2372,3071
3317,1.495e+04,2.494e+04
3318,716.2,863
3321,1344,1132
3326,1262,3923
3329,7350,5390
3331,6089,5636
3332,2372,1897
3333,5564,3991
3336,1557,1492
3338,1288,1472
3341,5319,6663
3342,3555,1665
3345,1557,2122
3346,2011,4372
3349,1682,2344
3351,2606,3875
3357,2815,2126
3360,6504,1.334e+04
3362,1655,2220
3365,1591,952.5
3371,4011,2372
3372,4804,6338
3375,8446,1.006e+04
3379,1262,590.4
3386,7276,6275
3389,2200,3279
3390,1891,2955
3391,961.4,1580
3402,3011,3647
3404,3435,5635
3406,2372,1142
3408,2011,2739
3411,1201,690
3415,2556,1582
3419,1078,1145
3424,2748,704.8
3425,1760,2555
3426,2556,3989
3428,2169,3500
3436,2887,1480
3438,3308,4720
3440,1121,583.2
3447,1670,1485
3448,2372,1637
3451,4470,6020
3452,2200,2983
3460,1411,867.9
3462,1568,2873
3465,2296,2915
3471,2462,2247
3472,2099,1119
3473,874.1,448.6
3474,2169,2966
3485,7276,3053
3487,6504,6969
3488,1603,1476
3489,1249,1576
3490,761.3,560.5
3491,4822,1415
3493,3255,2201
3496,3011,2780
3497,6089,4804
3504,1853,2820
3505,1419,1406
3516,1943,1467
3519,1906,1473
3521,3613,3424
3525,4234,5182
3527,8467,6869
3528,800.9,931.8
3529,4263,3752
3530,1084,654.3
3533,6759,6601
3536,5319,4553
3548,1.02e+04,6856
3549,4234,3923
3550,1853,2222
3553,2251,1188
3556,1249,1228
3561,1853,1061
3562,2388,819.4
3563,1078,1255
3564,876,700
3566,1853,2311
3568,3255,942.9
3569,941.8,1016
3571,2246,1749
3581,2011,1634
3586,1853,6243
3587,1249,708.1
3588,2318,2583
3591,2169,1267
3596,2200,1462
3599,1404,2133
3603,3011,4698
3612,1797,1777
3616,1557,1826
3620,3555,3526
3625,2318,3116
3626,3435,2183
3633,2874,3374
3635,1603,2196
3636,5199,1.039e+04
3639,2748,1302
3644,8467,1.116e+04
3646,4470,6318
3648,874.1,949.5
3652,2556,5094
3662,1.144e+04,1.165e+04
3665,1344,3056
3667,1191,979.7
3670,2887,2145
3671,1947,1762
3673,1179,2236
3676,3308,3682
3679,3555,6464
3682,1078,1590
3687,1906,1640
3688,6284,4088
3691,3275,4789
3692,1288,809.8
3696,1262,924.9
3702,1480,2263
3705,1249,894.1
3707,9337,6703
3709,6284,4361
3710,1344,548
3711,2372,3857
3715,2372,2528
3717,3308,3249
3720,2246,3106
3724,2701,2012
3725,6284,4034
3735,1002,568.6
3736,961.4,758.5
3737,1906,1995
3745,2372,2911
3746,2372,5434
3751,1603,1301
3753,2099,2658
3756,7276,6635
3759,874.1,755.8
3761,2011,1989
3764,2748,2367
3766,1318,3069
3768,1342,2661
3771,1054,629.1
3774,7276,7362
3782,800.9,971.7
3788,1784,1722
3789,2643,2904
3791,2317,1527
3792,1093,824.9
3794,5667,6955
3795,1084,1286
3799,1002,1353
3802,1318,1307
3803,1725,2360
3811,1480,1285
3817,7821,1.426e+04
3821,2099,2926
3824,2011,2859
3825,1318,1392
3832,1318,410.6
3843,6284,6114
3844,3011,2808
3846,2349,2060
3853,4234,2351
3854,8446,7214
3862,2099,2908
3863,7101,9310
3869,5813,3802
3870,1557,1357
3876,1891,1164
3886,7821,4817
3887,3011,7602
3889,5564,3615
3890,1404,1798
3898,1559,1192
3899,2372,4498
3904,5057,5150
3905,3555,2435
3906,1318,1083
3907,2556,3035
3910,1514,1462
3911,2318,729.9
3912,1557,2932
3914,1655,1441
3920,2372,4329
3925,1321,1022
3926,961.4,1152
3927,9337,1.353e+04
3930,2748,2662
3934,4115,6198
3937,2318,1537
3938,1761,3641
3946,1002,701.2
3953,1682,1338
3954,3106,6372
3955,1179,511.6
3956,1557,1293
3959,2246,940.4
3960,1655,2141
3968,4234,3480
3969,1344,1657
3970,3507,1356
3981,1591,768
3982,1947,4619
3984,2372,3520
3988,7106,7966
3990,1557,1411
3993,2011,709.7
3994,1695,1280
3996,2556,1941
3999,1557,1028
4009,2011,5181
4014,6089,3765
4015,2887,1938
4022,1557,2137
4024,4822,4036
4027,1201,643.7
4030,1947,2459
4032,2556,3480
4034,2011,3856
4036,2318,3446
4041,4804,6370
4044,3760,3607
4049,2748,3402
4050,6759,5023
4051,2372,3277
4052,1318,1218
4054,2887,3133
4055,2896,943.5
4058,1682,1784
4068,4828,2154
4069,2317,1364
4070,6284,1.476e+04
4072,5667,7861
4076,1670,1617
4078,1191,1287
4084,2372,2815
4086,4263,3990
4088,1670,1242
4099,1445,1949
4101,1682,2327
4102,1084,1612
4103,1002,648.4
4111,5319,3877
4112,1947,3265
4113,4263,5052
4115,1321,956.7
4119,6284,7551
4125,4011,3257
4126,9337,1.071e+04
4132,2643,1690
4134,1943,1010
4135,1344,3397
4136,1445,1617
4143,1105,940.3
4145,1201,652.5
4147,4011,1756
4148,3760,4482
4154,1603,1638
4157,1505,1366
4160,1670,1425
4161,2556,3743
4162,2606,4834
4164,3757,3006
4166,2606,7822
4171,6284,8600
4174,1682,769.5
4177,1725,8437
4184,1191,474.3
4192,2556,1733
4197,929.9,233.2
4206,3106,3367
4208,2556,4964
4209,1262,797.8
4211,1179,2033
4214,4937,5997
4217,4115,2202
4220,1342,1470
4222,3435,1650
4224,1411,1915
4230,3011,1146
4232,1455,2396
4233,3129,2990
4236,2317,2734
4238,1191,949.8
4246,2317,1255
4247,1523,1030
4250,1121,829.6
4251,3129,4121
4252,5589,5488
4254,1559,1303
4255,7276,3624
4266,8467,8264
4269,1411,968.3
4270,3760,3429
4275,1760,1048
4278,761.3,813.1
4279,3757,2871
4282,1054,2443
4285,941.8,835.5
4286,1249,1507
4289,1191,1410
4297,3106,3314
4298,2099,2251
4300,4263,8058
4303,1045,564.5
4304,2011,2427
4310,1523,1507
4311,4115,4416
4312,4937,5736
4322,2815,2634
4326,2748,4421
4328,2317,801.7
4333,1288,807.5
4338,1084,1947
4340,1947,2632
4342,1853,2977
4344,2748,3130
4345,1321,1204
4349,1682,2755
4353,3909,4157
4354,1819,4754
4361,2556,3072
4362,3757,5384
4367,1670,1445
4369,1591,1562
4372,3129,6876
4373,1191,391.7
4381,1725,1215
4383,1249,868.5
4384,6425,5951
4385,706.8,611.3
4386,5667,4764
4388,5813,3141
4389,2372,4081
4394,2296,2737
4396,2556,3428
4398,2099,1018
4399,1514,1922
4401,1179,1630
4405,758.4,884.2
4406,5564,7716
4407,3613,3793
4409,2372,1335
4419,1557,2795
4420,3308,2222
4423,2224,1932
4426,2317,1778
4427,1725,1553
4428,1655,1379
4441,2896,2381
4445,1891,2193
4453,1236,1157
4454,6759,1616
4460,6759,9235
4462,874.1,1167
4463,1249,398.6
4464,2556,2827
4466,4470,6921
4468,1411,842.3
4470,1455,1121
4472,2606,1469
4473,3275,777.4
4476,2317,2727
4487,761.3,980.2
4493,2011,2367
4495,1002,761.5
4499,2372,1514
4506,1603,1247
4509,4011,2646
4511,1.077e+04,4211
4512,1514,2599
4518,4443,4446
4520,1853,2478
4526,1603,5132
4532,1682,746.8
4538,1603,1330
4540,3757,5256
4543,2200,3376
4545,1906,1457
4546,1853,2823
4555,2011,1509
4558,1523,1062
4561,1455,1443
4565,6284,8895
4566,2462,2187
4568,1455,890.6
4571,1455,609.3
4574,4263,1.562e+04
4576,3255,6501
4579,2556,1895
4580,4004,5335
4581,2246,4825
4583,3613,4760
4586,1342,1889
4589,1249,1960
4600,3435,3967
4603,957.5,883.2
4604,1179,751.8
4606,1853,2059
4609,2372,3745
4610,1455,958.3
4611,1591,3472
4612,1288,1316
4614,2200,1730
4616,4203,2456
4617,4470,5664
4622,1801,1460
4623,1943,1560
4624,3011,2457
4626,1801,994.7
4627,4937,5288
4634,3275,6983
4637,2896,3819
4639,1514,3338
4640,2011,965.6
4641,1662,1701
4642,1342,1615
4645,1797,2363
4647,1591,2946
4649,1559,2769
4651,1249,310.8
4655,1682,1204
4665,1288,1900
4668,1262,1622
4669,1947,2034
4673,1853,4672
4674,957.5,761.1
4675,2224,4180
4682,5319,8449
4685,2011,1343
4686,2748,840.5
4687,1947,942.1
4694,4777,6174
4695,2011,2810
4696,7106,5927
4699,1411,1824
4701,929.9,476.8
4702,1445,1687
4704,1591,608.4
4707,1557,3132
4708,2740,1326
4709,961.4,716.4
4710,1002,1428
4711,6089,8471
4716,2556,1709
4718,1725,1478
4720,1249,1464
4723,3909,6390
4727,957.5,850
4733,1288,4153
4734,2099,4020
4735,6504,5733
4737,1853,2165
4738,1801,924.7
4741,1318,1212
4743,1906,738
4747,1135,730.5
4748,4443,7294
4750,1761,1193
4751,1514,2258
4760,1662,1483
4768,1455,2325
4773,2748,4472
4778,6284,8226
4782,1045,1075
4783,5589,5659
4788,1695,656
4790,3757,3664
4795,2200,1497
4796,1784,1101
4801,1002,706.2
4802,1342,547
4804,2318,3266
4811,4937,6567
4814,2163,4159
4815,2011,2878
4817,2884,4091
4819,2486,892.9
4822,4203,4952
4827,2748,4967
4828,1404,1014
4833,3613,330
4834,1670,1410
4836,1725,1418
4838,1682,3842
4848,2224,1733
4858,829.1,528.9
4859,4937,4521
4862,2556,954.7
4864,2011,1427
4870,6089,4471
4876,2011,2696
4883,1179,1956
4884,2874,3524
4889,1523,940
4894,1662,1443
4901,1045,1399
4902,1523,4805
4906,899.6,567.1
4908,7821,1.208e+04
4912,4804,2766
4918,2887,938.6
4923,2169,6512
4924,2296,2067
4930,2556,5436
4932,2556,1668
4936,2896,2605
